Roller contact length [m],0.001587802146457606
Load no,T_r [C],alpha_max,front_x,front_v (mm/s),Q_roller (power per unit thickness from both rollers [W/m]),Q_roller_noFP (from both rollers power per unit thickness [W/m]),R_tc,V_r,T0, Tamb, Hgap, phi1, phi2, alpha0, h_conv
12,100.0,0.8577730729263185,-0.0010769362414745772,1.5,22.58931620097493,-55.74454193382725,0.001,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
13,105.0,0.8777689884314599,-0.009613747186164317,1.5,45.322110679432384,-60.38992042883074,0.001,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
14,110.0,0.882000851934623,-0.00961382013988389,1.5,40.881218364797874,-65.03529892382913,0.001,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
15,115.0,0.8867506298372978,-0.009613893949050944,1.5,36.46041595849059,-69.68067741882422,0.001,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
16,120.0,0.8920102395799795,-0.009613968417161337,1.5,32.062151398245504,-74.32605591383475,0.001,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
17,125.0,0.897744594734935,-0.009614043589100282,1.5,27.68894400026141,-78.97143440884139,0.001,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
18,130.0,0.9038897838721918,-0.009614119511184465,1.5,23.34330136599607,-83.61681290382339,0.001,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
19,135.0,0.9103549774856552,-0.009614196230370773,1.5,19.027596455579918,-88.26219139882028,0.001,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
20,140.0,0.9170283842950805,-0.009614273792930795,1.5,14.743917161867166,-92.90756989382064,0.001,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50

0,40.0,0.11257394062027554,-inf,1.5,0.022436612660679298,-2.438191261306404e-11,0.1,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
1,45.0,0.11268940352760466,-inf,1.5,-0.12044948391180704,-0.1429329958701766,0.1,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
2,50.0,0.11280653393603035,-inf,1.5,-0.26333525917428074,-0.2858659917175227,0.1,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
3,55.0,0.11292536105241785,-inf,1.5,-0.4062207082750818,-0.4287989875644752,0.1,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
4,60.0,0.11304591417686842,-inf,1.5,-0.5491058287968384,-0.5717319834121289,0.1,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
